term,estimate,se,lower,upper,scale,interval_type,model_id
Intercept,-1.4073450646328622,0.08075612832977555,-1.5656729915183156,-1.2490171377474089,log,CI,1
C(Sex)[T.Male],0.23483592343205012,0.010173055615683983,0.2148909503503256,0.2547808965137746,log,CI,1
Lnmasskg,0.6363622330036033,0.021078534850218687,0.5950363201144956,0.677688145892711,log,CI,1
bodyfat,-0.01236171346011014,0.0004530904144977929,-0.013250028285285535,-0.011473398634934746,log,CI,1
Age2,-9.83824605564839e-05,2.1212180360565576e-06,-0.00010254125396408015,-9.422366714888764e-05,log,CI,1
Intercept,0.24479232899666922,0.08075612832977555,0.20894734605303447,0.28678653003998417,raw,CI,1
C(Sex)[T.Male],1.2647012438687977,0.010173055615683983,1.2397266978323962,1.2901789072058227,raw,CI,1
Lnmasskg,1.8895944569471075,0.021078534850218687,1.8130967956475066,1.9693196856873194,raw,CI,1
bodyfat,0.9877143786540267,0.0004530904144977929,0.9868373669173642,0.9885921697993456,raw,CI,1
Age2,0.9999016223788391,2.1212180360565576e-06,0.9998974640032106,0.9999057807717614,raw,CI,1
